Length_mm,Width_mm,Thickness_um,Voltage_V,Force_N
50,20,200,7000,5.10987512448266
50,20,200,9000,5.12534363753803
60,10,50,5000,0.031275196562954
60,10,50,7000,0.0318185986955228
60,10,50,9000,0.0321083604193853
60,10,100,5000,0.192407108865466
60,10,100,7000,0.227419526229273
60,10,100,9000,0.239581826328404
60,10,150,5000,0.620198520108768
60,10,150,7000,0.628825261808076
60,10,150,9000,0.646390104951
60,10,200,5000,1.45978330127117
60,10,200,7000,1.46688726736258
60,10,200,9000,1.47732365920984
60,15,50,5000,0.0469127948444801
60,15,50,7000,0.0477278980395329
60,15,50,9000,0.0481625406298722
60,15,100,5000,0.288610702886329
60,15,100,7000,0.341129294437051
60,15,100,9000,0.359372739063899
60,15,150,5000,0.930297778618383
60,15,150,7000,0.943237891074357
60,15,150,9000,0.969585155531535
60,15,200,5000,2.18967495094809
60,15,200,7000,2.20033090008033
60,15,200,9000,2.215985487844
60,20,50,5000,0.0625503804247401
60,20,50,7000,0.0636371869452085
60,20,50,9000,0.0642167114821313
60,20,100,5000,0.384814276799285
60,20,100,7000,0.454839066360913
60,20,100,9000,0.479163649138943
60,20,150,5000,1.24039704599235
60,20,150,7000,1.25765052965808
60,20,150,9000,1.29278021663807
60,20,200,5000,2.91956660129558
60,20,200,7000,2.93377453347095
60,20,200,9000,2.95464731715542
70,10,50,5000,0.0198990486502397
70,10,50,7000,0.0201341681593506
70,10,50,9000,0.0202671551192601
70,10,100,5000,0.141308891986415
70,10,100,7000,0.151262077217478
70,10,100,9000,0.155120074916309
70,10,150,5000,0.392349265622869
70,10,150,7000,0.412042910065421
70,10,150,9000,0.473964851125282
70,10,200,5000,0.916148766794877
70,10,200,7000,0.925455103292825
70,10,200,9000,0.941526020623055
70,15,50,5000,0.0298485729818241
70,15,50,7000,0.0302012522461362
70,15,50,9000,0.030400732686495
70,15,100,5000,0.211963365675314
70,15,100,7000,0.226893134814052
70,15,100,9000,0.232680128671809
70,15,150,5000,0.58852391212399
70,15,150,7000,0.618064441308809
70,15,150,9000,0.710947469663504
70,15,200,5000,1.37422315136994
70,15,200,7000,1.38818265608389
70,15,200,9000,1.41228903002817
70,20,50,5000,0.0397980973399284
70,20,50,7000,0.0402683363626229
70,20,50,9000,0.0405343102851394
70,20,100,5000,0.282617654041821
70,20,100,7000,0.302524043329359
70,20,100,9000,0.310240045139527
70,20,150,5000,0.784698542611856
70,20,150,7000,0.824085909968404
70,20,150,9000,0.947929944879579
70,20,200,5000,1.83229753451946
70,20,200,7000,1.85091020847414
70,20,200,9000,1.88305204521889
